stock,Quarter,Revenue,Gross Profit,Operating Income,Pre-Tax Income,Income After Taxes,Net Income,EBITDA,EBIT,Shares Outstanding,Earnings Per Share(EPS),Total Assets,Total Liabilities,Shareholder Equity,Net Cash Flow,Current Ratio,Gross Margin,Net Profit Margin,EBITA Margin,ROE - Return On Equity,ROA - Return On Assets,ROI - Return On Investment,Free Cash Flow Per Share
GOOGL,12/31/2020,56898,30818,15651,18689,15227,15227,19376,15651,14665,1.11,319616,90702,222544,6336,3.0668,54.1636,26.7619,27.5071,6.8422,4.7642,6.4391,1.1696
GOOGL,9/30/2020,46173,25056,11213,13359,11247,11247,14691,11213,14639,0.82,299243,86323,212920,2387,3.4101,54.2655,24.3584,24.2848,5.2823,3.7585,4.9585,0.794
GOOGL,6/30/2020,38297,19744,6383,8277,6959,6959,9769,6383,14668,0.51,278492,71170,207322,-1902,3.4145,51.555,18.1711,16.6671,3.3566,2.4988,3.2928,0.5892
GOOGL,3/31/2020,41159,22177,7977,7757,6836,6836,11085,7977,14774,0.49,273403,69744,203659,1146,3.6582,53.8813,16.6088,19.3809,3.3566,2.5003,3.2759,0.3686
GOOGL,12/31/2019,46075,25055,9266,10704,10671,10671,12679,9266,14902,0.77,275909,74467,210442,2466,3.3741,54.3787,23.1601,20.1107,5.2973,3.8676,5.1802,-0.6134
GOOGL,9/30/2019,40499,22931,9177,8628,7068,7068,12097,9177,14894,0.51,263044,68075,194969,-555,3.7823,56.6212,17.4523,22.6598,3.6252,2.687,3.5508,1.7632
GOOGL,6/30/2019,38944,21648,9180,121476,9947,9947,12015,9180,14930,0.71,257101,64909,192192,-2561,3.9848,55.5875,25.5418,23.5723,5.1756,3.8689,5.0681,0.4361
GOOGL,3/31/2019,36339,20327,6608,8146,6657,6657,9221,6608,14949,0.47,245349,61877,183472,2447,3.959,55.9372,18.3192,18.1843,3.6283,2.7133,3.5497,0.4925
MSFT,12/31/2023,62020,42397,27032,26526,21870,21870,32991,27032,7468,2.93,470558,232290,238268,-63147,1.218,68.3602,35.2628,43.5859,9.1787,4.6477,7.7226,1.2187
MSFT,9/30/2023,56517,40215,26895,27284,22291,22291,30816,26895,7462,2.99,445785,225071,220714,45748,1.6635,71.1556,39.4412,47.5875,10.0995,5.0004,8.4866,2.7695
MSFT,6/30/2023,56189,39394,24254,22673,20081,20081,28128,24254,7472,2.68,411976,205753,206223,8142,1.7692,70.1098,35.7383,43.165,9.7375,4.8743,8.0902,2.6478
MSFT,3/31/2023,52857,36729,22352,22673,18299,18299,25901,22352,7464,2.45,380088,185405,194683,10916,1.9126,69.4875,34.6198,42.2877,9.3994,4.8144,7.7326,2.3929
MSFT,12/31/2022,52747,35259,20399,20339,16425,16425,24947,20399,7473,2.2,364552,181416,183136,-7238,1.9313,66.8455,31.1392,38.6733,8.9687,4.5055,7.2276,0.6591
MSFT,9/30/2022,50122,34670,21518,21572,17556,17556,24308,21518,7485,2.35,359784,186218,173566,8953,1.8402,69.1712,35.0265,42.9313,10.1149,4.8796,8.0186,2.2599
MSFT,6/30/2022,51865,35436,20534,20487,16740,16740,24513,20534,7540,2.24,364840,198298,166542,1433,1.7846,68.3235,32.27161,39.5913,10.0515,4.5883,7.838,2.3502
MSFT,3/31/2022,49360,33745,20364,20190,16728,16728,24137,20364,7534,2.22,344607,181683,162924,-8106,1.9877,68.3651,33.8898,41.2561,10.2674,4.8542,7.9242,2.6708
MSFT,12/31/2021,51728,34768,22247,22515,18765,18765,25743,22247,7555,2.48,340389,180379,160010,1439,2.2473,67.2131,36.2763,43.0077,11.7274,5.5128,9.0099,1.1443
MSFT,9/30/2021,45317,31671,20238,20524,20505,20505,23450,20238,7567,2.71,335418,183440,151975,4941,2.1648,69.8877,45.2479,44.6587,13.4921,6.1133,10.1501,2.4752
MSFT,6/30/2021,46152,32161,19095,19405,16458,16458,22439,19095,7608,2.17,333779,191791,141988,522,2.08,69.685,35.6604,41.3742,11.5911,4.9308,8.5691,2.1294
MSFT,3/31/2021,41706,28661,17048,17236,15457,15457,19984,17048,7597,2.03,308879,174374,134505,-730,2.294,68.7215,37.06118,40.8766,11.4918,5.0042,8.3772,2.257
MSFT,12/31/2020,43076,28882,17897,18337,15463,15463,20658,17897,7616,2.03,304137,173901,130236,-2773,2.5779,67.0489,35.897,41.5475,11.8731,5.0842,8.3416,1.1006
MSFT,9/30/2020,37154,26152,15876,16124,13893,13893,18521,15876,7637,1.82,301001,177609,123392,3629,2.5276,70.3881,37.393,42.7303,11.2592,4.6156,7.6992,1.8892
MSFT,6/30/2020,38033,25694,13407,13422,11202,11202,16911,13407,7683,1.47,301311,183007,118304,1866,2.5158,67.5571,29.4534,35.251,9.4688,3.7178,6.2947,1.8087
MSFT,3/31/2020,35021,24046,12975,12843,10752,10752,16093,12975,7675,1.4,285449,170948,114501,2846,2.9043,68.6617,30.7016,37.0492,9.3903,3.7667,6.0621,1.7946
MSFT,12/31/2019,36906,24548,13891,14085,11649,11649,17094,13891,7691,1.51,282794,172685,110109,-4253,2.8014,66.5149,31.564,37.6389,10.5795,4.1193,6.7153,0.931
MSFT,9/30/2019,33055,22649,12686,12686,10678,10678,15657,12686,7710,1.38,278955,172894,106061,1761,2.8545,68.5191,32.3037,38.3785,10.0678,3.8279,6.1887,1.3532
MSFT,6/30/2019,33717,23305,12405,12596,13187,13817,15329,12405,7753,1.7,286556,184226,102330,144,2.5288,69.1194,39.1108,36.7915,12.8867,4.6019,7.8033,1.5512
MSFT,3/31/2019,30571,20401,10341,10486,8809,8809,13267,10341,7744,1.14,263281,168417,94864,4571,2.9685,66.7332,28.8149,33.8262,9.2859,3.3459,5.4562,1.4208
NVDA,12/31/2023,22103,16791,13615,14106,12286,12286,14002,13615,2494,4.92,65728,22750,42978,17761,4.1713,75.9671,55.5852,61.598,28.5867,18.6922,23.8855,4.5088
NVDA,9/30/2023,18120,13400,10417,10522,9243,9243,10789,10417,2494,3.71,54148,20883,33265,363,3.5884,73.9514,51.0099,57.489,27.786,17.0699,22.1538,2.8354
NVDA,6/30/2023,13507,9462,6800,6981,6188,6188,7165,6800,2499,2.48,49555,22054,27501,803,2.7866,70.0526,45.8133,50.3443,22.501,12.4871,17.2094,2.4207
