stock,Quarter,Revenue,Gross Profit,Operating Income,Pre-Tax Income,Income After Taxes,Net Income,EBITDA,EBIT,Shares Outstanding,Earnings Per Share(EPS),Total Assets,Total Liabilities,Shareholder Equity,Net Cash Flow,Current Ratio,Gross Margin,Net Profit Margin,EBITA Margin,ROE - Return On Equity,ROA - Return On Assets,ROI - Return On Investment,Free Cash Flow Per Share,Closing Price Before Release,Closing Price After Release,Price Change (%),Quarterly Returns,Quarter_label
MSFT,2022-03-31,49360,33745,20364,20190,16728,16728,24137,20364,7534,2.22,344607,181683,162924,-8106,1.9877,68.3651,33.8898,41.2561,10.2674,4.8542,7.9242,2.6708,313.86,309.42,-1.4146434716115457,-0.014146434716115458,2022Q1
MSFT,2021-12-31,51728,34768,22247,22515,18765,18765,25743,22247,7555,2.48,340389,180379,160010,1439,2.2473,67.2131,36.2763,43.0077,11.7274,5.5128,9.0099,1.1443,339.32,334.75,-1.3468112695980174,-0.013468112695980175,2021Q4
MSFT,2021-09-30,45317,31671,20238,20524,20505,20505,23450,20238,7567,2.71,335418,183440,151975,4941,2.1648,69.8877,45.2479,44.6587,13.4921,6.1133,10.1501,2.4752,284.0,289.1,1.795774647887332,0.01795774647887332,2021Q3
MSFT,2021-06-30,46152,32161,19095,19405,16458,16458,22439,19095,7608,2.17,333779,191791,141988,522,2.08,69.685,35.6604,41.3742,11.5911,4.9308,8.5691,2.1294,271.4,271.6,0.07369196757555103,0.0007369196757555103,2021Q2
MSFT,2021-03-31,41706,28661,17048,17236,15457,15457,19984,17048,7597,2.03,308879,174374,134505,-730,2.294,68.7215,37.06118,40.8766,11.4918,5.0042,8.3772,2.257,231.85,242.35,4.528790166055639,0.04528790166055639,2021Q1
MSFT,2020-12-31,43076,28882,17897,18337,15463,15463,20658,17897,7616,2.03,304137,173901,130236,-2773,2.5779,67.0489,35.897,41.5475,11.8731,5.0842,8.3416,1.1006,221.68,217.69,-1.7998917358354425,-0.017998917358354426,2020Q4
MSFT,2020-09-30,37154,26152,15876,16124,13893,13893,18521,15876,7637,1.82,301001,177609,123392,3629,2.5276,70.3881,37.393,42.7303,11.2592,4.6156,7.6992,1.8892,207.26,212.46,2.5089259866834013,0.025089259866834013,2020Q3
MSFT,2020-06-30,38033,25694,13407,13422,11202,11202,16911,13407,7683,1.47,301311,183007,118304,1866,2.5158,67.5571,29.4534,35.251,9.4688,3.7178,6.2947,1.8087,198.44,204.7,3.154605926224547,0.03154605926224547,2020Q2
MSFT,2020-03-31,35021,24046,12975,12843,10752,10752,16093,12975,7675,1.4,285449,170948,114501,2846,2.9043,68.6617,30.7016,37.0492,9.3903,3.7667,6.0621,1.7946,160.23,152.11,-5.067715159458264,-0.050677151594582644,2020Q1
MSFT,2019-12-31,36906,24548,13891,14085,11649,11649,17094,13891,7691,1.51,282794,172685,110109,-4253,2.8014,66.5149,31.564,37.6389,10.5795,4.1193,6.7153,0.931,157.59,160.62,1.9227108319055786,0.019227108319055785,2019Q4
